contentid,title,mapx,mapy,nx,ny
2939664,마이산도립공원 북부,127.4149199,35.76639106,68,88
2615386,마이산홍삼족욕카페,127.4178888,35.77550119,68,88
3014207,마이포터리,127.3300822,37.7061916,66,130
2764930,마장리계곡,126.8772437,37.77804448,58,131
750804,마장호수,126.9327471,37.77462921,59,131
2633942,마장호수 출렁다리,126.9277087,37.77317929,59,131
2758517,마정저수지,127.0971768,36.87317272,62,112
2742299,마중공원,127.0215347,37.23579616,61,120
2657838,마차리폐광촌,128.4560019,37.2551953,85,121
125683,마차진해변,128.4191502,38.51112664,84,148
2757653,마천공원,127.1454549,37.50179533,63,125
250353,마천목장군과 도깨비살,127.3267767,35.26916805,67,77
2742424,마천산산림욕장,128.4595047,35.88864871,86,91
2758646,마치광장,127.3375043,36.29773748,66,99
2789683,마평산촌생태마을,127.7163875,35.56184177,73,83
2465460,마평정수장 홍보관,129.1372577,37.43347677,97,125
753558,마포대교,126.9418447,37.53647097,59,126
2373247,마포전차종점 3·1운동 만세 시위지,126.9449665,37.53841525,59,126
2633907,마포중앙도서관,126.9082164,37.56384774,59,127
304695,마하사(부산),129.0876863,35.1639058,98,75
1087619,마한문화공원,126.5854265,34.89518382,53,69
3060959,마한유적체험관,126.8516373,35.19249916,58,75
127141,막동계곡,128.5651392,37.53728151,87,127
1625152,만경강,127.025876,35.89906641,61,90
3079580,만경낙조전망대,126.7990854,35.8901302,57,90
125793,만경대,129.1366228,37.48717612,97,126
3030314,만경촌마을,128.3897921,36.36179365,85,101
1599284,만경향교,126.821076,35.85433188,57,89
2734984,만골근린공원,127.1136028,37.28624474,62,121
742527,만귀정,126.8338268,35.12072919,58,73
304696,만기사(경기),127.1011561,37.10833176,62,117
2746365,만기사철조여래좌상,127.1011477,37.10832899,62,117
2759682,만남의광장,126.9454518,37.46826785,59,125
2714735,만년교,128.5296521,35.45331028,88,81
2023330,만대어촌체험마을,126.3035941,36.9380236,48,113
2758288,만대항,126.3048571,36.96696472,48,114
716562,만덕산,127.2757482,35.79217736,66,88
128609,만돌갯벌체험학습장,126.5150115,35.53013024,52,82
231901,만동묘정비,127.8110767,36.66893125,75,107
2554138,만들숲,129.0645828,35.16395537,98,75
2996389,만듦협동조합,127.0845924,35.92317302,62,91
125917,만뢰사,127.3224143,36.89155517,66,112
127792,만뢰산,127.3365364,36.85337649,66,111
