contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid,NX,NY
126014,한려해상국립공원(통영),경상남도 통영시 한산일주로 70,,36.0,17.0,128.4744856,34.79609413,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/05/1954205_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/1954205_image3_1.jpg,A01,A0101,A01010100,12,86,66
126015,한려해상국립공원(),경상남도 하동군 금남면,", 설천면 일대",36.0,18.0,127.8880356,34.94904996,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/66/1300766_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1300766_image3_1.jpg,A01,A0101,A01010100,12,76,69
126455,한림공원,제주특별자치도 제주시 한림읍 한림로 300,,39.0,4.0,126.2415557,33.38866596,20240700000000.0,,,A02,A0202,A02020700,12,46,35
2792599,한림항,제주특별자치도 제주시 한림읍 한림해안로 192,,39.0,4.0,126.2625727,33.41909071,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/20/2800520_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2800520_image2_1.jpg,A01,A0101,A01011400,12,47,35
129013,한마음공원,전라남도 영광군 홍농읍 홍농로7길 24,(홍농읍),38.0,16.0,126.4266859,35.4239436,20230500000000.0,,,A02,A0202,A02020700,12,50,79
3030350,한마음광장,경상북도 울진군 후포면 울진대게로 169-52,,35.0,18.0,129.4599823,36.68242464,20231100000000.0,,,A01,A0101,A01011400,12,102,108
976387,한민족역사문화공원,충청남도 천안시 동남구 목천읍 교천지산길 284-88,(목천읍) 일대,34.0,12.0,127.1976478,36.79303929,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/95/1962095_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/1962095_image3_1.jpg,A02,A0202,A02020700,12,63,109
770251,한반도 뗏목마을,강원특별자치도 영월군 한반도면 선암길 70,,32.0,8.0,128.3468155,37.22241923,20240700000000.0,,,A02,A0203,A02030100,12,83,119
3046380,한반도생태평화 종합관광센터,경기도 파주시 문산읍 임진각로 148-63,,31.0,27.0,126.739892,37.89099829,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/65/3046365_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/3046365_image3_1.jpg,A01,A0101,A01010500,12,55,133
2713392,한반도섬,강원특별자치도 양구군 양구읍 한반도섬길 76,,32.0,6.0,127.9828296,38.13069322,20230700000000.0,,,A01,A0101,A01011300,12,76,138
