contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
2551925,앤갤러리,경기도 성남시 분당구 새마을로 95,,31,12,127.1412169480,37.3836283988,20230610083125,http://tong.visitkorea.or.kr/cms/resource/20/2551920_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2551920_image2_1.jpg,A02,A0206,A02060500,14
3067368,앤블가옥,충청남도 천안시 동남구 원거리13길 1 (원성동),,34,12,127.1555929276,36.8032901372,20231213112256,http://tong.visitkorea.or.kr/cms/resource/52/3067352_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3067352_image3_1.jpg,A02,A0206,A02061000,14
2502569,약사동 제방유적전시관,울산광역시 중구 종가14길 22-28,(약사동),7,1,129.3369503387,35.5762391804,20240105095755,,,A02,A0206,A02060300,14
129885,양구문화원,강원특별자치도 양구군 양구읍 비봉로73번길 52,,32,6,127.9838190471,38.1090374284,20240102121938,http://tong.visitkorea.or.kr/cms/resource/59/1836859_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/1836859_image3_1.jpg,A02,A0206,A02060700,14
731454,양구백자박물관,강원특별자치도 양구군 방산면 평화로 5182,,32,6,127.9514412318,38.2074225648,20240603104844,http://tong.visitkorea.or.kr/cms/resource/95/3077195_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3077195_image3_1.jpg,A02,A0206,A02060100,14
130134,양구선사박물관,강원특별자치도 양구군 양구읍 금강산로 439-52,,32,6,127.9903846742,38.1235803026,20240610123254,http://tong.visitkorea.or.kr/cms/resource/61/1583261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1583261_image3_1.jpg,A02,A0206,A02060100,14
731520,양구전쟁기념관,강원특별자치도 양구군 해안면 해안서화로 35,,32,6,128.1455432111,38.2899471887,20230701104234,,,A02,A0206,A02060200,14
130736,양구통일관,강원특별자치도 양구군 해안면 해안서화로 35,,32,6,128.1455432111,38.2899471887,20240711162336,http://tong.visitkorea.or.kr/cms/resource/63/3332763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3332763_image3_1.jpg,A02,A0206,A02060300,14
130146,양구팔랑민속관,강원특별자치도 양구군 동면 바랑길158번길 5,,32,6,128.0658307259,38.2096689210,20231030163055,http://tong.visitkorea.or.kr/cms/resource/02/2566602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2566602_image3_1.jpg,A02,A0206,A02060300,14
3026234,양림동 밤의 미술관[한희원 미술관 도슨트 투어],광주광역시 남구 양림동,166-10,5,2,126.9141608629,35.1411199098,20231027115642,,,A02,A0206,A02060500,14
2941021,양산 영화공장,경상남도 양산시 덕계북길 35,,36,10,129.1573686459,35.3826936731,20240607163439,,,A02,A0206,A02061200,14
1752914,양산문화예술회관,경상남도 양산시 중앙로 39-1,(남부동),36,10,129.0365055420,35.3336441563,20230911201258,,,A02,A0206,A02060600,14
1912356,양산시립박물관,경상남도 양산시 북정로 78,(북정동),36,10,129.0490482081,35.3584388275,20230905115736,,,A02,A0206,A02060100,14
129883,양양문화원,강원특별자치도 양양군 양양읍 양양로 114-5,,32,7,128.6163626198,38.0741730629,20240809143550,http://tong.visitkorea.or.kr/cms/resource/56/3076856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3076856_image3_1.jpg,A02,A0206,A02060700,14
129880,양주문화원,경기도 양주시 광적면 삼일로29번길 20,,31,18,126.9868629712,37.8222024176,20231207144251,http://tong.visitkorea.or.kr/cms/resource/85/1888785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1888785_image3_1.jpg,A02,A0206,A02060700,14
2754295,양주별산대놀이마당,경기도 양주시 부흥로1399번길 47,(유양동),31,18,127.0315626907,37.7863796214,20231108140512,http://tong.visitkorea.or.kr/cms/resource/64/2754064_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2754064_image2_1.jpg,A02,A0206,A02060600,14
2790974,양주소놀이굿공연장,경기도 양주시 백석읍 중앙로93번길 70-21,,31,18,127.0004070564,37.7915395688,20231108144923,http://tong.visitkorea.or.kr/cms/resource/07/2797807_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2797807_image2_1.jpg,A02,A0206,A02060600,14
2546181,양주시립 회암사지박물관,경기도 양주시 회암사길 11,(율정동),31,18,127.1028740399,37.8412550747,20230727171213,http://tong.visitkorea.or.kr/cms/resource/47/2546147_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2546147_image3_1.jpg,A02,A0206,A02060100,14
130297,양주시문화예술회관,경기도 양주시 광적면 부흥로618번길 303,,31,18,126.9722978941,37.8132087583,20231213152400,,,A02,A0206,A02060600,14
3335564,양천공원 책쉼터,서울특별시 양천구 목동동로 135 (신정동),서울 양천구 목동동로 111 양천공원 책쉼터,1,19,126.8682935295,37.5185800701,20240724104121,,,A02,A0206,A02060900,14
